TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
SPACER 3,N/A,"3-1/16-12"" STUB ACME BOX X PIN",CHROME,,2272598-1,M101281446,1,RACK 1B
SPACER 4,N/A,"3-1/16-12"" STUB ACME BOX X PIN",CHROME,,2191381-1,101281446,1,RACK 1B
SEAL BORE EXTENSION,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,AFQ2055531-1,M101283969-B,1,RACK 1C
SEAL BORE EXTENSION,N/A,"3-1/2"" STUB ACME BOX X PIN",CHROME,,AFQ2055531-4,M101283969-B,1,RACK 1C
SEAL BORE EXTENSION,N/A,"5-1/2"" NATIONAL BOX X PIN",CHROME,,102675894DSR,H065581603NTNU,1,RACK 1C
RATCHETING MULE SHOE,P106343121-01,"4-1/2"" VAMTOP BOX",CHROME,,00004205445-01,M101739954,1,RACK 1C
RATCHETING MULE SHOE,P106343121-02,"4-1/2"" VAMTOP BOX",CHROME,,00004205445-02,M101739954,1,RACK 1C
RATCHETING MULE SHOE,N/A,"3-1/2"" VAMTOP BOX",CHROME,,S2309151-01,M101922624,1,RACK 1C
RATCHETING MULE SHOE,N/A,"3-1/2"" VAMTOP BOX",CHROME,,S2309151-02,M101922624,1,RACK 1C
RATCHETING MULE SHOE,N/A,"3-1/2"" VAMTOP BOX",CHROME,,S2309151-03,M101922624,1,RACK 1C
RATCHETING MULE SHOE,N/A,"5"" VAMTOP BOX ",CHROME,,SN71538772-3,2414848,1,RACK 1C
TELESCOPIC SWIVEL,N/A,"3-1/2"" VAMTOP BOX X PIN",CHROME,,0004283744-05,101639640,1,RACK 1C
TELESCOPIC SWIVEL,N/A,"3-1/2"" VAMTOP BOX X PIN",CHROME,,0004283744-08,101639640,1,RACK 1C
FLOW COUPLING ,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SG3265987-03,11FN1689-BHM,1,RACK 1C
SSD,N/A,"2-7/8"" EUE BOX X PIN",CHROME,OTIS,N/A,121X94451654,1,RACK 1C
SSD,N/A,"2-7/8"" EUE BOX X PIN",CHROME,OTIS,N/A,121X93451651,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,N/A,121X39805866,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,N/A,121XA2,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,9105010142,121Y14970640555,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,N/A,121X618585152,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,901116,121Y1197062001,1,RACK 1C
SSD,WO5048227,"2-3/8"" TSH",CHROME,OTIS,H035431006-SN3,103914648,1,RACK 1C
SSD,N/A,"2-3/8"" EUE PIN X PIN",CHROME,OTIS,N/A,121X40805567,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,N/A,121X439892178,1,RACK 1C
SSD,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,N/A,121X484247301,1,RACK 1C
PUP JOINT,N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N,9,B RACK 1C
SSV,N/A,"2-3/8"" VAMTOP BOX X PIN",CHROME,,18017185-2,1159276,1,WORKSHOP
SSV,N/A,"2-3/8"" VAMTOP BOX X PIN",CHROME,,18017185-1,1159276,1,WORKSHOP
SSV,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,100092170AA,4161219,1,WORKSHOP
SSV,N/A,"3-1/2"" HCS BOX X PIN",CHROME,BAKER,H058590830UOO SN-03,107811253,1,WORKSHOP
SSV,N/A,"3-1/2"" HCS BOX X PIN",CHROME,BAKER,H82738007S14A SN-02,107811253,1,WORKSHOP
SSV,N/A,"3-1/2"" HCS BOX X PIN",CHROME,,,824-83-2810,1,WORKSHOP
SSV,N/A,"3-1/2"" HCS BOX X PIN",CHROME,BAKER,H057140513UOO SN-02,106951065,1,WORKSHOP
SSV,N/A,"3-1/2"" HCS BOX X PIN",CHROME,BAKER,H057369205UOO SN-02,106843937,1,WORKSHOP
SSV,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,,SG3220672-02,M102338681,1,WORKSHOP
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,4506069430-80,H065503902,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" HCS BOX ",L80,,SN01,7501233/003,1,RACK 2A
MULE SHOE,N/A,"2-7/8"" HCS BOX",L80,,01779447/1,15276580,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"2-7/8"" HCS BOX",L80,,N/A,STSL/WF/359,1,RACK 2A
MULE SHOE,N/A,"2-7/8"" HCS BOX",L80,,01779447/2,15276580,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,H065503902,102283207,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,H065503902-80,4506069430,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,N/A,102283207,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,N/A,SEG-WEG-01,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,H065503902,102330017,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" NATIONAL BOX",L80,,H065503903,102283207,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700,1004094,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN30,10044299,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN21,N/A,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065500200-SN10,101052245,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN37,102415197,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN26,10241519,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065500200-SN22,101155055,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,N/A,SEG-SU-02,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,N/A,SEG-SU-03,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN41,102415197,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,N/A,SEG-SU-04,1,RACK 2A
WIRELINE ENTRY GUIDE,N/A,"4-1/2"" STUB ACME BOX X PIN",L80,,H065503800,102342711,1,RACK 2A
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",L80,,H034897200-SN36,100949584,1,RACK 2A
SEAL UNIT,WO-515415,"2-7/8"" STUB ACME BOX X PIN",L80,,SN-15360H,N/A,1,RACK 2A
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",L80,,H034897200-SN45,100949584,1,RACK 2A
SEAL UNIT,WO-515415,"2-7/8"" STUB ACME BOX X PIN",L80,,SN-15371H,N/A,1,RACK 2A
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",L80,,H034897200-SN20,100949584,1,RACK 2A
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",L80,,H034897200-SN41,100949584,1,RACK 2A
SEAL UNIT,WO-515415,"2-7/8"" STUB ACME BOX X PIN",L80,,SN-15366H,N/A,1,RACK 2A
SEAL UNIT,N/A,"2-7/8"" STUB ACME BOX X PIN",L80,,H034897200-SN48,100949584,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,N/A,10048530,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN,101156216,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065507700-SN001-83,102415197AS/JW,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" HCS BOX X STUB ACME PIN",L80,,H444537826,100562479GT,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,N/A,SEG-SU-01,1,RACK 2A
SEAL UNIT,N/A,"3-1/2"" STUB ACME BOX X PIN",L80,,H065500200,101139404,1,RACK 2A
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,1100-05-187-121,1,RACK 2B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,1100-05-187-121,1,RACK 2B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,X-10228,711X18704,1,RACK 2B
X NIPPLE,N/A,"4-1/2"" EUE BOX X PIN",L80,,N/A,SEG-NIP-02,1,RACK 2B
X NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,2756X2748,1,RACK 2B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",L80,,N/A,1100-05-231-236,1,RACK 2B
X NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,207503,1,RACK 2B
X NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,S/042834.001/002,1,RACK 2B
X NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,207503,1,RACK 2B
X NIPPLE,N/A,"2-7/8"" VAMTOP BOX X PIN",L80,,N/A,101318938REVAE,1,RACK 2B
X NIPPLE,N/A,"2-7/8"" VAMTOP BOX X PIN",L80,,N/A,2256F3213-B,1,RACK 2B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,1100-05-187-121,1,RACK 2B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",L80,,N/A,1100-05-231-236,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,1101-05-187-121,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,X-NP-23-10822-29,N/A,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,X-NP-23-10822-39,N/A,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,SEG-NIP-01,1,RACK 2B
XN NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",L80,OTIS,2352539-1,M101248176,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,SEG-NIP-03,1,RACK 2B
XN NIPPLE,WO5824,"2-7/8"" HCS BOX X PIN",L80,,N/A,35-2250BERREV.A,1,RACK 2B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",L80,,N/A,SEG-NIP-04,1,RACK 2B
XN NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",L80,OTIS,N/A,PCS-250RNI78,1,RACK 2B
LOCATOR ,N/A,"3-1/2""  STUB ACME X BLANK",L80,BAKER,H4445292379,105292379,,RACK 2B
LOCATOR ,N/A,"4-1/2"" STUB ACME BOX X PIN",L80,BAKER,H444509101-SN5,103223030,,RACK 2B
LOCATOR ,N/A,"4-1/2"" STUB ACME BOX X PIN",L80,BAKER,H065503700-SN2,104322722,1,RACK 2B
LOCATOR ,N/A,"4-1/2"" STUB ACME BOX X PIN",L80,BAKER,H065503700-SN3,102361111,1,RACK 2B
LOCATOR ,N/A,"4-1/2"" STUB ACME BOX X PIN",L80,BAKER,H444509101-SN1,102414081,1,RACK 2B
LOCATOR WITH XO,N/A,"4-1/2"" STUB ACME PIN X 3-1/2"" HCS PIN",L80,BAKER,H065552728,100426447,1,RACK 2B
HYDROTRIP,N/A,"2-3/8"" HCS BOX X PIN",L80,BAKER,XO34835-003-2,8025569,1,RACK 2B
HYDROTRIP,N/A,"2-3/8"" HCS BOX X PIN",L80,,XO34835-003-1,8025569,1,RACK 2B
HYDROTRIP,N/A,"2-3/8"" HCS BOX X PIN",L80,,XO34835-003-3,8025569,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" HCS BOX X PIN",L80,SLB,350HTS5547,103274267,1,RACK 2B
HYDROTRIP,N/A,"4-1/2"" EUE BOX X PIN",L80,,N/A,ADDAX30165,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" HCS BOX X PIN",L80,,15K3500HT-13AA,74104081,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,SEG-HTS-01,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,350HYBTS1733-C5,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,SEG-HTS-02,1,RACK 2B
HYDROTRIP,N/A,"3-1/2"" EUE BOX X PIN",L80,,HT99282000,ADDAX30131,1,RACK 2B
CROSSOVER,N/A,SUB BOTTOM BLACK CAT 9.625 X 6.0007 STC PIN,L80,WTFD,HT-3020010B                       SO-34773-2-03,1285546-A.4,1,RACK 2B
CROSSOVER,N/A,SUB BOTTOM BLACK CAT 9.625 X 6.0007 STC PIN,L80,WTFD,HT-3020010B                       SO-34773-2-02,1285546-A.4,1,RACK 2B
CROSSOVER,N/A,"6-5/8"" STC PIN X 7-5/8"" STC BOX",L80,,IOSL/SPG/06/24/012,,1,RACK 2B
CROSSOVER,N/A,"4.75"" NATIONAL BOX X 5.459"" STUB ACME PIN",L80,,IOSL/SPG/0325/036,N/A,1,RACK 2B
CROSSOVER,N/A,"5"" VAMTOP BOX X 3-1/2"" NUE PIN",L80,,IOS/ENL/0525/213,N/A,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X 3-1/2"" IF BOX",L80,,N/A,SEG-XO-01,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X VAMTOP BOX",CHROME,,N/A,MS18945-2-3/4,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X 2-7/8"" IF PIN",CHROME,,N/A,MS218719-1-4/5,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X 2-7/8"" HCS BOX",L80,,N/A,SEG-XO-02,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X 3-1/2"" VAMTOP BOX",L80,,N/A,SEG-XO-03,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" VAMTOP BOX X 3-1/2"" HCS PIN",L80,,N/A,MS19833-1/4,1,RACK 2B
CROSSOVER,N/A,"2-3/8"" HCS PIN X 2-3/8"" EUE BOX",L80,,N/A,799-26-1426-23-2-L,1,RACK 2B
CROSSOVER,N/A,"2-3/8"" VAMTOP BOX X 2-3/8"" HCS PIN",L80,,STSL/WF/309,,1,RACK 2B
CROSSOVER,N/A,"2-7/8"" HCS BOX X 2-3/8"" HCS PIN",L80,,N/A,SEG-XO-04,1,RACK 2B
CROSSOVER,N/A,"2-3/8"" VAMTOP BOX X 2-3/8"" HCS PIN",L80,,STSL/WF/310,N/A,1,RACK 2B
CROSSOVER,N/A,"2-3/8"" RTS-8 BOX X 2-7/8"" TSH 511 PIN",L80,,N/A,MS17347-2-1/2,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" VAMTOP BOX X 3-1/2"" HCS PIN",L80,,IOSL/SPG/05/225-2,N/A,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X PIN",L80,,N/A,SEG-XO-05,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X 3-1/2"" VAMTOP BOX",L80,,N/A,SEG-XO-06,1,RACK 2B
CROSSOVER,N/A,"2-7/8"" HCS BOX X 2-7/8"" EUE PIN",L80,,N/A,SEG-XO-08,1,RACK 2B
CROSSOVER,N/A,"3.625"" STUB ACME BOX X PIN",L80,,IOSL/SPG/06/066-2,N/A,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" HCS PIN X VAMTOP BOX",L80,,N/A,SEG-XO-09,1,RACK 2B
CROSSOVER,N/A,"2-7/8"" HCS PIN X 3-1/2"" VAMTOP BOX",L80,,IOSL/SPG/0624/028,N/A,1,RACK 2B
CROSSOVER,N/A,"3-1/2"" EUE BOX X 2-7/8"" HCS PIN",L80,,N/A,SEG-XO-10,1,RACK 2B
CROSSOVER,N/A,"2-3/8"" RTS-8 BOX X 2-7/8"" HYDRIL 511 PIN",L80,,N/A,MS17039-2-2/2,1,RACK 2B
COUPLING,N/A,"3-1/2"" HCS BOX X BOX",L80,,N/A,003301FOC,1,RACK 2B
COUPLING,N/A,"3-1/2"" EUE BOX X HCS PIN",L80,,N/A,SEG-XO-07,1,RACK 2B
TELESCOPIC SWIVEL,N/A,"3-1/2"" HCS BOX X PIN",L80,,H014462603,102325068,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"2-3/8"" HCS BOX X PIN",L80,,H-00A112672,T572-20A-611REVA,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"2-7/8"" HCS BOX X PIN",L80,,H014460501-SN3,103952399,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,A2037-835-02002,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"3-1/2"" HCS BOX X PIN",L80,,20803452,288AOJ7821-A,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"3-1/2"" HCS BOX X PIN",L80,,R59960,288AOJ7821-B,1,RACK 2C
TELESCOPIC SWIVEL,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,,CTPO2260270-4,A2037-835-02002,1,RACK 2C
WASH DOWN SHOE,N/A,"3-1/2"" EUE BOX",L80,,,SEG-WDS-01,1,B RACK 2C
WASH DOWN SHOE,N/A,"3-1/2"" EUE BOX",L80,,101248,44613-002-00001,1,B RACK 2C
WASH DOWN SHOE,N/A,"3-1/2"" EUE BOX",L80,,,SEG-WDS-02,1,RACK 2C
WIRELINE SSV (2FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,644520,711Y1761,1,B RACK 2C
WIRELINE SSV (2FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,646553,711Y170,1,B RACK 2C
CROSSOVER,N/A,"6-5/8"" BTC BOX X 6-5/8"" VAMTOP PIN",L80,,IOS/SPG/0326/247,N/A,1,RACK 2C
CROSSOVER,N/A,"4.75"" STUB ACME BOX X 6-5/8"" BTC PIN",L80,,IOS/ENL/0525/211,N/A,1,RACK 2C
CROSSOVER,N/A,"6-5/8"" BTC BOX X 6-5/8"" VAMTOP PIN",L80,,IOS/SPG/0326/247-2,N/A,1,RACK 2C
CROSSOVER,N/A,"5-1/2"" VAMTOP BOX X 5-1/2"" LTC PIN",L80,,IOS/SPG/1225/238,N/A,1,RACK 2C
PFT COUPLING,WO24010-P032-W09,"4.75"" STUB ACME BOX X BLANK",L80,PFT,N/A,2114058001001-REV-A,1,RACK 2C
PFT COUPLING,WO24010-P032-W10,"4.75"" STUB ACME BOX X BLANK",L80,PFT,N/A,2114058001001-REV-A,1,RACK 2C
CROSSOVER,N/A,"2-7/8"" HCS BOX X 3-1/2"" VAMTOP PIN",L80,,IOSL/SPG/0624/029,N/A,1,RACK 2C
CROSSOVER,N/A,"3-1/2"" EUE BOX X HCS PIN",L80,,N/A,SEG-XO-011,1,RACK 2C
CROSSOVER,N/A,"3-1/2"" STUB ACME BOX X 2-7/8"" HCS PIN",L80,,N/A,SEG-XO-012,1,RACK 2C
WTFD BOTTOM SUB,N/A,"5-1/2"" EUE BOX X STUB ACME PIN",L80,,N/A,22958545299690,1,RACK 2C
WTFD LOCATOR,N/A,80-40,L80,,N/A,N/A,1,RACK 2C
BULL PLUG,N/A,"6-5/8"" VAMTOP BOX",L80,,IOSL/SPG/001,N/A,1,RACK 2C
BULL PLUG,N/A,"3-1/2"" JFEBEAR BOX",CHROME,,N/A,MSI9730-3-2/2,1,RACK 2C
BULL PLUG,N/A,4.75 STUB ACME BOX,L80,,IOS/SPG/02/005,N/A,1,RACK 2C
RATCHETING MULE SHOE,N/A,"4-1/2"" STUB ACME BOX",L80,,H066292002REV1/5,4505152504-20-9,1,RACK 2C
RATCHETING MULE SHOE,16A437,"4-1/2"" STUB ACME BOX",L80,,SN234070,403.47541,1,RACK 2C
RATCHETING MULE SHOE,W010234475/1,"6"" STUB ACME",L80,,N/A,1130536REVA,1,RACK 9C
RATCHETING MULE SHOE,N/A,"5""",CHROME,,N/A,SMS-71002302-2,1,RACK 9C
WTFD RATCHETING MULE SHOE,N/A,"6"" STUB ACME",L80,WTFD,N/A,1130536,1,RACK 9C
KOIV,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,BAKER,H079345615550,102241090,1,WORKSHOP
KOIV,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,BAKER,H079345615550,102241090,1,WORKSHOP
KOIV,N/A,"5-1/2"" EUE BOX X PIN",L80,BAKER,H487350021,107191342-03,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,H066131102  SN10,104326816,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,H078326401 SN3,10680766,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,N/A,ADS12HST,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,N/A,SEG-KOIV-01,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,H487357001 SN04,104327340,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,H282050767 SN02,106699800,1,WORKSHOP
KOIV,N/A,"7"" BTC BOX X PIN",L80,BAKER,H082050767,106699800,1,WORKSHOP
KOIV,N/A,"5-1/2"" EUE BOX X PIN",L80,BAKER,H487350021,107191342-07,1,WORKSHOP
KOIV,N/A,"5-1/2"" EUE BOX X PIN",L80,BAKER,H487350021,107191342-06,1,WORKSHOP
PARALLEL SNAP LATCH,N/A,"3-1/2"" HCS BOX",L80,,H014499081,4506674233-50,1,RACK 2C
PARALLEL SNAP LATCH,N/A,"3-1/2"" HCS BOX",L80,,N/A,9605222091HS7N5,1,RACK 2C
TEST CAP,N/A,"3-1/2"" HCS MALE & FEMALE",L80,,N/A,SEG-QC-01,1,RACK 2C
SSD,WO24004-A001-002,"2-7/8"" HCS BOX X PIN",L80,PFT,N/A,"902GT0000,REV-A",1,RACK 3B
SSD,WO24007-P054-003,"3-1/2"" BLANK X BLANK",L80,PFT,N/A,"902H799003004,REV-A",1,RACK 3B
SSD,12227547/1,"3-1/2"" BLANK X BLANK",L80,WTFD,N/A,31422960REV#A,1,RACK 3B
SSD,12227547/3,"3-1/2"" BLANK X BLANK",L80,WTFD,N/A,31422960REV#A,1,RACK 3B
SSD,12227547/4,"3-1/2"" BLANK X BLANK",L80,WTFD,N/A,31422960REV#A,1,RACK 3B
SSD,12227547/2,"3-1/2"" BLANK X BLANK",L80,WTFD,N/A,31422960REV#A,1,RACK 3B
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,9108150026,N/A,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,621X27634-F,M485163,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,HLBT,C1546282,M101065546,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,9210300052,121YXA15,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,9208260093,121Y1183,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",CHROME,BAKER,H610804278,104396582,1,RACK 3C
SSD,N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,SEG-SSD-001,1,RACK 3C
SSD,3792:4,"2-7/8"" HCS BOX X PIN",CHROME,,N/A,101683644,1,RACK 3C
SSD,N/A,"4-1/2"" HCS BOX X PIN",CHROME,OTIS,SN9308190035,121X1010-AKO,1,RACK 10B
SSD,N/A,"4-1/2"" HCS BOX X PIN",CHROME,OTIS,9309150006,121XA38120-AKO,1,RACK 10B
SSD,N/A,"4-1/2"" HCS BOX X PIN",CHROME,OTIS,N/A,M101065278,1,RACK 10B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,BAKER,H029994746JDK-SN001,102654375,1,RACK 9B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,BAKER,H810800035A101,102651553,1,RACK 9B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,BAKER,H029994746JDK-SN003,102651553,1,RACK 9B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,,H033139605,101339776,1,RACK 9B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",L80,,H810795607 SN02,101381911,1,RACK 9B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,SG-3240404-04,M102344292,1,RACK 10B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,SG-3240404-03,M102344292,1,RACK 10B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,SG-3240404-02,M102344292,1,RACK 10B
SSD,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,SG-3240404-01,M102344292,1,RACK 10B
SSD,N/A,"3-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,ASSY 102171501; S2930922-10,62100149BHM,1,RACK 10A
SSD,N/A,"3-1/2"" VAMTOP BOX X PIN",CHROME,OTIS,ASSY 102171501; S2930922-09,62100149BHM,1,RACK 10A
CONTROL LINE,N/A,,,,N/A,N/A,3,RACK 3A
PUP JOINT (4FT),N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,N/A,1,RACK 2C
PUP JOINT (5FT),N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,N/A,3,RACK 2C
PUP JOINT (2FT),N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,N/A,9,B RACK 2C
PUP JOINT (2FT),N/A,"2-7/8"" HCS BOX X PIN",L80,,N/A,N/A,2,RACK 3C
PBR WITH COUPLING,WO24010-P035-009,"4.75"" BLANK X BLANK",L80,PFT,N/A,2115058001001-REVA,1,RACK 3C
SSV ,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,001,"100092204,REVAB",1,RACK 3C
FLOW COUPLING (4FT),N/A,"4-1/2"" VAMTOP BOX X 2-7/8"" VAMTOP PIN",CHROME,,A3029-7AJ02,10002354-CPL,1,RACK 3C
FLOW COUPLING (4FT),N/A,"4-1/2"" BLANK X BLANK",CHROME,,N/A,N/A,1,RACK 3C
FLOW COUPLING (6FT),938734,"2-7/8"" HCS BOX X PIN",L80,,N/A,2282591-A,27,RACK 4B
FLOW COUPLING (6FT),N/A,"2-7/8"" EUE BOX X PIN",L80,,N/A,N/A,8,RACK 4C
FLOW COUPLING (4FT),N/A,"3-1/2"" EUE BOX X PIN",L80,,N/A,N/A,4,RACK 4C
FLOW COUPLING (4FT),N/A,"4-1/2"" EUE BOX X PIN",L80,,N/A,N/A,1,RACK 4C
FLOW COUPLING (4FT),N/A,"3-1/2"" EUE BOX X BOX",L80,,N/A,N/A,1,RACK 4C
